date,partial_vax,percent_partial,full_vax,percent_full
12/16/2020,0,0,0,0
12/17/2020,0,0,0,0
12/18/2020,0,0,0,0
12/19/2020,0,0,0,0
12/20/2020,0,0,0,0
12/21/2020,0,0,0,0
12/22/2020,0,0,0,0
12/23/2020,0,0,0,0
12/24/2020,9000,0.632892588,0,0
12/25/2020,9000,0.632892588,0,0
12/26/2020,9000,0.632892588,0,0
12/27/2020,9000,0.632892588,0,0
12/28/2020,9000,0.632892588,0,0
12/29/2020,9000,0.632892588,0,0
12/30/2020,9000,0.632892588,0,0
12/31/2020,25000,1.758034967,0,0
1/1/2021,25000,1.758034967,0,0
1/2/2021,25000,1.758034967,0,0
1/3/2021,25000,1.758034967,0,0
1/4/2021,25000,1.758034967,0,0
1/5/2021,25000,1.758034967,0,0
1/6/2021,25000,1.758034967,0,0
1/7/2021,25470,1.791086024,0,0
1/8/2021,25470,1.791086024,0,0
1/9/2021,25470,1.791086024,0,0
1/10/2021,25470,1.791086024,0,0
1/11/2021,25470,1.791086024,0,0
1/12/2021,25470,1.791086024,0,0
1/13/2021,40386,2.840000007,0,0
1/14/2021,40386,2.840000007,0,0
1/15/2021,40386,2.840000007,0,0
1/16/2021,40386,2.840000007,0,0
1/17/2021,40386,2.840000007,0,0
1/18/2021,40386,2.840000007,0,0
1/19/2021,52635,3.701366819,11309,0.795264698
1/20/2021,58111,4.086446799,13833,0.972755908
1/21/2021,63282,4.450078751,16132,1.134424803
1/22/2021,67991,4.781222218,16802,1.181540141
1/23/2021,94003,6.61042244,NA,NA
1/24/2021,94003,6.61042244,NA,NA
1/25/2021,94003,6.61042244,NA,NA
1/26/2021,106654,7.500058455,NA,NA
1/27/2021,109808,7.721852146,NA,NA
1/28/2021,120431,8.468876364,NA,NA
1/29/2021,127419,8.960282298,NA,NA
1/30/2021,137100,9.641063759,NA,NA
1/31/2021,137100,9.641063759,NA,NA
2/1/2021,137100,9.641063759,NA,NA
2/2/2021,151558,10.65777054,NA,NA
2/3/2021,159526,11.21809145,NA,NA
2/4/2021,171705,12.07453576,NA,NA
2/5/2021,181704,12.77767943,NA,NA
2/6/2021,189446,13.32210769,NA,NA
2/7/2021,189446,13.32210769,NA,NA
2/8/2021,142259,10.00385185,42472,2.986690445
2/9/2021,202200,14.21898681,NA,NA
2/10/2021,210250,14.78507407,NA,NA
2/11/2021,104511,7.349359697,48521,3.412064585
2/12/2021,104511,7.349359697,48521,3.412064585
2/13/2021,104511,7.349359697,48521,3.412064585
2/14/2021,104511,7.349359697,48521,3.412064585
2/15/2021,104511,7.349359697,48521,3.412064585
2/16/2021,168479,11.84767893,68688,4.830236232
2/17/2021,104511,7.349359697,48521,3.412064585
2/18/2021,104738,7.365322655,72326,5.086065481
2/19/2021,210213,14.78247218,90892,6.391652569
2/20/2021,215488,15.15341756,96971,6.819136351
2/21/2021,219881,15.46233946,102818,7.230305569
2/22/2021,223785,15.7368742,107267,7.543165472
2/23/2021,224806,15.80867235,108525,7.631629792
2/24/2021,227011,15.96373104,112487,7.910243173
2/25/2021,231599,16.28636561,117019,8.228939752
2/26/2021,236307,16.61743876,122521,8.615848087
2/27/2021,241336,16.97108507,129131,9.080672533
2/28/2021,246296,17.31987921,136218,9.579040285
3/1/2021,248885,17.50194131,140469,9.877976551
3/2/2021,249631,17.55440107,142855,10.04576341
3/3/2021,251867,17.71163972,147043,10.34026943
3/4/2021,257320,18.09510231,153655,10.80523451
3/5/2021,262927,18.48939439,158777,11.16542072
3/6/2021,269414,18.9455693,164636,11.57743379
3/7/2021,270037,18.98937953,165707,11.65274801
3/8/2021,280866,19.75088996,174927,12.30111131
3/9/2021,287071,20.18723424,179965,12.65539051
3/10/2021,294934,20.7401714,184608,12.98189277
3/11/2021,304606,21.42031997,188723,13.27126532
3/12/2021,314009,22.08155208,193632,13.61647307
3/13/2021,322222,22.65910173,199012,13.99480219
3/14/2021,329359,23.16098555,202968,14.27299365
3/15/2021,333759,23.4703997,208017,14.62804639
3/16/2021,339603,23.88135796,211174,14.85005104
3/17/2021,349281,24.56192845,215871,15.18035065
3/18/2021,359319,25.26781465,219607,15.4430714
3/19/2021,369835,26.00731448,224113,15.75993962
3/20/2021,378607,26.62417379,228167,16.04502257
3/21/2021,387067,27.21909282,231477,16.2777864
3/22/2021,390305,27.44679351,232428,16.34466205
3/23/2021,396262,27.86569808,235147,16.53586594
3/24/2021,404267,28.42862088,238370,16.7625118
3/25/2021,410879,28.89358597,242800,17.0740356
3/26/2021,420788,29.59040071,250357,17.60545441
3/27/2021,421727,29.6564325,250944,17.64673307
3/28/2021,422366,29.70136787,251645,17.69602837
3/29/2021,439169,30.88297834,259463,18.24580107
3/30/2021,444099,31.22966283,262135,18.43369984
3/31/2021,450539,31.68253264,268481,18.87995944
4/1/2021,455591,32.03779635,276272,19.42783346
4/2/2021,461922,32.48300112,284689,20.01972867
4/5/2021,480013,33.75518554,299014,21.0270827
4/6/2021,483730,34.01657018,303429,21.33755168
4/7/2021,490371,34.48357459,311523,21.90673308
4/8/2021,495709,34.85895022,322180,22.65614823
4/9/2021,502477,35.33488544,334093,23.49388705
4/10/2021,503280,35.39135353,335003,23.55787952
4/11/2021,510152,35.87460218,345487,24.29512907
